,Cd3e,Cd19,Cd14
macrophage,2.456,2.742,13.304
macrophage,2.456,2.742,13.062
macrophage,3.658,2.742,14.193
macrophage,2.543,2.742,14.171
macrophage,2.954,2.742,14.101
macrophage,3.205,3.609,14.288
macrophage,2.521,2.742,14.268
macrophage,2.456,3.074,14.217
macrophage,3.118,5.059,14.199
macrophage,3.312,2.861,14.033
macrophage,2.417,2.742,14.017
macrophage,2.727,2.416,12.533
macrophage,2.417,2.311,13.724
mast cell,2.482,2.932,2.809
natural killer cell,4.679,2.742,2.809
natural killer cell,6.302,10.156,2.936
NK T cell,9.975,3.695,2.935
NK T cell,11.242,4.328,4.611
NK T cell,10.311,5.056,11.317
NK T cell,10.048,3.419,11.294
NK T cell,7.472,2.653,7.555
NK T cell,10.065,2.434,6.466
T cell,8.737,2.416,2.549
T cell,8.483,2.63,4.054
T cell,9.59,2.416,2.549
T cell,9.801,2.324,2.554
T cell,10.068,2.416,2.549
T cell,10.147,2.416,2.554
T cell,10.082,2.701,2.589
T cell,8.598,3.315,5.012
T cell,11.758,2.302,2.952
T cell,12.006,2.302,2.68
T cell,11.244,6.416,6.393
T cell,11.08,6.831,7.465
T cell,9.543,6.382,2.589
T cell,9.165,6.673,2.809
T cell,9.878,7.587,8.014
T cell,9.85,7.356,8.046
T cell,9.453,5.805,2.693
T cell,10.313,5.236,2.549
T cell,9.119,6.412,2.809
T cell,11.855,2.416,3.015
T cell,9.554,2.416,2.554
T cell,9.723,2.416,2.554
T cell,9.708,2.472,2.554
T cell,9.796,2.416,2.549
T cell,8.583,2.416,2.549
T cell,8.123,2.416,2.936
T cell,8.922,2.416,4.562
T cell,8.675,2.816,2.554
T cell,7.566,2.416,2.554
T cell,6.659,2.222,2.554
T cell,7.545,2.742,2.554
T cell,8.017,2.302,2.554
T cell,11.713,6.785,7.314
T cell,9.819,5.347,7.738
T cell,11.57,7.612,7.494
T cell,10.249,6.859,9.106
T cell,9.362,2.222,2.554
T cell,10.297,4.71,8.82
T cell,10.08,7.899,8.524
T cell,10.358,8.373,5.582
T cell,9.686,2.416,2.554
T cell,10.813,2.737,2.549
T cell,10.335,2.742,2.611
T cell,10.253,2.222,2.222
T cell,10.925,2.302,2.549
T cell,11.351,2.309,2.58
T cell,7.972,5.776,7.14
T cell,8.385,3.245,5.41
T cell,7.57,5.249,3.777
T cell,7.962,2.742,2.88
T cell,11.235,2.416,2.554
T cell,10.422,3.543,2.554
T cell,10.675,2.416,2.801
T cell,11.652,2.879,2.576
fibroblast,2.456,2.416,2.549
stromal cell,2.417,2.319,3.876
stromal cell,2.417,2.302,11.752
stromal cell,2.417,2.455,6.719
stromal cell,2.417,2.416,6.804
stromal cell,2.417,2.416,7.995
stromal cell,2.417,2.354,7.467
stromal cell,2.417,2.687,7.612
tissue,2.417,2.222,2.809
tissue,2.417,2.303,2.587
tissue,2.417,2.222,4.864
tissue,2.417,2.222,3.809
tissue,3.031,3.749,6.179
