Angle
166.5
182
165.5
168.5
161.5
166.5
157.5
184
181.5
177
190.5
159
180
178.5
161.5
171.5
181.5
181.5
169.5
166.5
193
192.5
182.5
186
181
198.5
194
205.5
159
174.5
202.5
206
195.5
179
183.5
185
169
175
180
209.5
180
180
178.5
172
190
171
169.5
178.5
159
158
189.5
173.5
213
181.5
149
161.5
185.5
168
189.5
186
180
182
260.5
149
205.5
154
