Complex,SPRmlF,SPRF,SPRml,SPRuv
C1,,,0.154,0.2240627
C1,,,0.154,0.264943
C1,,,0.155,0.2949086
C1,,,0.156,0.2930212
C1,,,0.157,0.2942223
C1,,,0.158,0.2912662
C1,,,0.159,0.2794299
C1,,,0.159,0.2878403
C1,,,0.16,0.3024262
C1,,,0.161,0.3232508
C1,,,0.162,0.3346814
C1,,,0.163,0.3422551
C1,,,0.164,0.3595347
C1,,,0.164,0.363074
C1,,,0.165,0.363772
C1,,,0.166,0.3825567
C1,,,0.167,0.4079354
C1,,,0.168,0.4248176
C1,,,0.169,0.4326555
C1,,,0.169,0.4426056
C1,,,0.17,0.4627245
C1,,,0.171,0.4661934
C1,,,0.172,0.4677132
C1,,,0.173,0.4613999
C1,,,0.174,0.4442294
C1,,,0.174,0.4582578
C1,,,0.175,0.4668919
C1,,,0.176,0.4675456
C1,,,0.177,0.4713495
C1,,,0.178,0.484743
C1,,,0.179,0.4996389
C1,,,0.179,0.4924459
C1,,,0.18,0.4865697
C1,,,0.181,0.4911235
C1,,,0.182,0.5006613
C1,,,0.183,0.5149873
C1,,,0.184,0.5156087
C1,,,0.184,0.5096413
C1,,,0.185,0.5252972
C1,,,0.186,0.5266693
C1,,,0.187,0.495524
C1,,,0.188,0.4573933
C1,,,0.189,0.4448504
C1,,,0.189,0.4757726
C1,,,0.19,0.5113066
C1,,,0.191,0.5095896
C1,,,0.192,0.493381
C1,,,0.193,0.5008762
C1,,,0.194,0.5172462
C1,,,0.194,0.5055865
C1,,,0.195,0.5057074
C1,,,0.196,0.5132418
C1,,,0.197,0.499424
C1,,,0.198,0.4904303
C1,,,0.199,0.4712049
C1,,,0.199,0.4586404
C1,,,0.2,0.4614074
C1,,,0.201,0.4600842
C1,,,0.202,0.4557372
C1,,,0.203,0.4613262
C1,,,0.204,0.473104
C1,,,0.204,0.466191
C1,,,0.205,0.4433692
C1,,,0.206,0.4369324
C1,,,0.207,0.4558972
C1,,,0.208,0.4624708
C1,,,0.209,0.4614834
C1,,,0.209,0.4612249
C1,,,0.21,0.4419378
C1,,,0.211,0.4252267
C1,,,0.212,0.4307638
C1,,,0.213,0.4381469
C1,,,0.214,0.4245415
C1,,,0.214,0.4142162
C1,,,0.215,0.4206566
C1,,,0.216,0.4150679
C1,,,0.217,0.4126921
C1,,,0.218,0.4258343
C1,,,0.219,0.4272239
C1,,,0.219,0.4243651
C1,,,0.22,0.4435469
C1,,,0.221,0.4419669
C1,,,0.222,0.4462994
C1,,,0.223,0.4560934
C1,,,0.224,0.4283915
C1,,,0.224,0.4096363
C1,,,0.225,0.4138008
C1,,,0.226,0.4137311
C1,,,0.227,0.4095173
C1,,,0.228,0.4027757
C1,,,0.229,0.4038397
C1,,,0.229,0.4060808
C1,,,0.23,0.3914337
C1,,,0.231,0.3892373
C1,,,0.232,0.3885462
C1,,,0.233,0.37255
C1,,,0.234,0.3831655
C1,,,0.234,0.3884293
C1,,,0.235,0.3794565
C1,,,0.236,0.3947701
C1,,,0.237,0.3862937
C1,,,0.238,0.3565562
C1,,,0.239,0.3373623
C1,,,0.239,0.3441542
C1,,,0.24,0.3726246
C1,,,0.241,0.3915685
C1,,,0.242,0.3691024
C1,,,0.243,0.3518851
C1,,,0.244,0.3656367
C1,,,0.244,0.3859798
C1,,,0.245,0.382883
C1,,,0.246,0.3618733
C1,,,0.247,0.3710559
C1,,,0.248,0.375039
C1,,,0.249,0.3705778
C1,,,0.249,0.3735133
C1,,,0.25,0.3650955
C1,,,0.251,0.3567564
C1,,,0.252,0.3586653
C1,,,0.253,0.3529007
C1,,,0.254,0.3453411
C1,,,0.254,0.3362302
C1,,,0.255,0.3288621
C1,,,0.256,0.3451735
C1,,,0.257,0.3569278
C1,,,0.258,0.3430655
C1,,,0.258,0.3343755
C1,,,0.259,0.3215711
C1,,,0.26,0.3094673
C1,,,0.261,0.3132931
C1,,,0.262,0.3296329
C1,,,0.263,0.3510545
C1,,,0.263,0.3536054
C1,,,0.264,0.330956
C1,,,0.265,0.3059968
C1,,,0.266,0.2980091
C1,,,0.267,0.2957738
C1,,,0.268,0.3042646
C1,,,0.268,0.3251363
C1,,,0.269,0.3241573
C1,,,0.27,0.3214674
C1,,,0.271,0.3297728
C1,,,0.272,0.3253601
C1,,,0.273,0.3198356
C1,,,0.273,0.3170547
C1,,,0.274,0.3302067
C1,,,0.275,0.3236868
C1,,,0.276,0.3048202
C1,,,0.277,0.295802
C1,,,0.278,0.281122
C1,,,0.278,0.2680553
C1,,,0.279,0.2902903
C1,,,0.28,0.3056018
C1,,,0.281,0.2840927
C1,,,0.282,0.2778816
C1,,,0.283,0.2791068
C1,,,0.283,0.2961851
C1,,,0.284,0.3120083
C1,,,0.285,0.3118366
C1,,,0.286,0.2798357
C1,,,0.287,0.2473225
C1,,,0.288,0.2446888
C1,,,0.288,0.2545941
C1,,,0.289,0.2725099
C1,,,0.29,0.3001026
C1,,,0.291,0.3054549
C1,,,0.292,0.2742551
C1,,,0.293,0.2534152
C1,,,0.293,0.2473151
C1,,,0.294,0.2674738
C1,,,0.295,0.2902073
C1,,,0.296,0.2808718
C1,,,0.297,0.2757454
C1,,,0.298,0.2594516
C1,,,0.298,0.2541624
C1,,,0.299,0.2748194
C1,,,0.3,0.2606434
C1,,,0.301,0.2521921
C1,,,0.302,0.2628737
C1,,,0.303,0.2697849
C1,,,0.303,0.2742653
C1,,,0.304,0.2672778
C1,,,0.305,0.269017
C1,,,0.306,0.2711107
C1,,,0.307,0.2642562
C1,,,0.308,0.2515316
C1,,,0.308,0.257645
C1,,,0.309,0.2774855
C1,,,0.31,0.2686103
C1,,,0.311,0.257986
C1,,,0.312,0.2705095
C1,,,0.313,0.2822932
C1,,,0.313,0.2678112
C1,,,0.314,0.2447249
C1,,,0.315,0.2387297
C1,,,0.316,0.2331105
C1,,,0.317,0.2277587
C1,,,0.318,0.2350111
C1,,,0.318,0.2443383
C1,,,0.319,0.2380913
C1,,,0.32,0.22964
C1,,,0.321,0.237145
C1,,,0.322,0.2292039
C1,,,0.323,0.2111876
C1,,,0.323,0.2155038
C1,,,0.324,0.2165468
C1,,,0.325,0.1990748
C1,,,0.326,0.1933112
C1,,,0.327,0.2032919
C1,,,0.328,0.2268625
C1,,,0.328,0.2423077
C1,,,0.329,0.236296
C1,,,0.33,0.2454219
C1,,,0.331,0.2474736
C1,,,0.332,0.2265052
C1,,,0.333,0.2151205
C1,,,0.333,0.2217654
C1,,,0.334,0.2133483
C1,,,0.335,0.2314818
C1,,,0.336,0.2305562
C1,,,0.337,0.2230845
C1,,,0.338,0.2332519
C1,,,0.338,0.2203702
C1,,,0.339,0.2350562
C1,,,0.34,0.2261031
C1,,,0.341,0.2007809
C1,,,0.342,0.2107887
C1,,,0.343,0.2141365
C1,,,0.343,0.2156399
C1,,,0.344,0.2260919
C1,,,0.345,0.206146
C1,,,0.346,0.1820212
C1,,,0.347,0.1855564
C1,,,0.348,0.1832868
C1,,,0.348,0.1803434
C1,,,0.349,0.1979182
C1,,,0.35,0.1870358
C1,,,0.351,0.1854183
C1,,,0.352,0.2165893
C1,,,0.353,0.2158602
C1,,,0.353,0.2043295
C1,,,0.354,0.2060765
C1,,,0.355,0.1912318
C1,,,0.356,0.18178
C1,,,0.357,0.190125
C1,,,0.358,0.1885493
C1,,,0.358,0.1880656
C1,,,0.359,0.2177662
C1,,,0.36,0.2368309
C1,,,0.361,0.1917719
C1,,,0.362,0.1780411
C1,,,0.363,0.1909976
C1,,,0.363,0.1985254
C1,,,0.364,0.2148022
C1,,,0.365,0.2085454
C1,,,0.366,0.2057613
C1,,,0.367,0.1995884
C1,,,0.368,0.1952589
C1,,,0.368,0.1884575
C1,,,0.369,0.1691236
C1,,,0.37,0.1895915
C1,,,0.371,0.2141347
C1,,,0.372,0.2059586
C1,,,0.373,0.1948988
C1,,,0.373,0.2001608
C1,,,0.374,0.2092586
C1,,,0.375,0.1940683
C1,,,0.376,0.1777055
C1,,,0.377,0.187508
C1,,,0.378,0.2042537
C1,,,0.378,0.1965379
C1,,,0.379,0.188169
C1,,,0.38,0.1910094
C1,,,0.381,0.1963139
C1,,,0.382,0.221097
C1,,,0.383,0.2028264
C1,,,0.383,0.175015
C1,,,0.384,0.1910183
C1,,,0.385,0.185399
C1,,,0.386,0.174842
C1,,,0.387,0.1710919
C1,,,0.388,0.1458239
C1,,,0.388,0.1492658
C1,,,0.389,0.1698679
C1,,,0.39,0.1858903
C1,,,0.391,0.1774458
C1,,,0.392,0.158193
C1,,,0.393,0.155037
C1,,,0.393,0.1670917
C1,,,0.394,0.1648006
C1,,,0.395,0.1689739
C1,,,0.396,0.1390485
C1,,,0.397,0.1439447
C1,,,0.398,0.2012697
C1,,,0.398,0.2021765
C1,,,0.399,0.1907581
C1,,,0.4,0.1726876
C1,,,0.401,0.1624141
C1,,,0.402,0.1719781
C1,,,0.402,0.1873636
C1,,,0.403,0.1631969
C1,,,0.404,0.1290951
C1,,,0.405,0.1484334
C1,,,0.406,0.1770497
C1,,,0.407,0.1841689
C1,,,0.407,0.1872418
C1,,,0.408,0.1712856
C1,,,0.409,0.1681112
C1,,,0.41,0.1918554
C1,,,0.411,0.183656
C1,,,0.412,0.1699013
C1,,,0.412,0.1922417
C1,,,0.413,0.1780795
C1,,,0.414,0.1613379
C1,,,0.415,0.1853972
C1,,,0.416,0.1870186
C1,,,0.417,0.1730038
C1,,,0.417,0.1715322
C1,,,0.418,0.1691142
C1,,,0.419,0.1600939
C1,,,0.42,0.1520674
C1,,,0.421,0.149391
C1,,,0.422,0.159328
C1,,,0.422,0.1656921
C1,,,0.423,0.1701028
C1,,,0.424,0.1638907
C1,,,0.425,0.1427855
C1,,,0.426,0.1452654
C1,,,0.427,0.1482535
C1,,,0.427,0.1339766
C1,,,0.428,0.1387616
C1,,,0.429,0.1289781
C1,,,0.43,0.1299403
C1,,,0.431,0.1494982
C1,,,0.432,0.1357906
C1,,,0.432,0.1231806
C1,,,0.433,0.1301728
C1,,,0.434,0.1068043
C1,,,0.435,0.08863223
C1,,,0.436,0.1118758
C1,,,0.437,0.1338449
C1,,,0.437,0.1374458
C1,,,0.438,0.1164847
C1,,,0.439,0.0986421
C1,,,0.44,0.1179749
C1,,,0.441,0.1545041
C1,,,0.442,0.1449068
C1,,,0.442,0.1282434
C1,,,0.443,0.1505919
C1,,,0.444,0.1531155
C1,,,0.445,0.1378425
C1,,,0.446,0.117403
C1,,,0.447,0.1153946
C1,,,0.447,0.1528269
C1,,,0.448,0.1527387
C1,,,0.449,0.129144
C1,,,0.45,0.1309953
C1,,,0.451,0.1457957
C1,,,0.452,0.1490796
C1,,,0.452,0.1254258
C1,,,0.453,0.1118105
C1,,,0.454,0.1212641
C1,,,0.455,0.112027
C1,,,0.456,0.1124577
C1,,,0.457,0.1194527
C1,,,0.457,0.119249
C1,,,0.458,0.1230525
C1,,,0.459,0.1250697
C1,,,0.46,0.1351459
C1,,,0.461,0.1288483
C1,,,0.462,0.1287365
C1,,,0.462,0.1399052
C1,,,0.463,0.1385491
C1,,,0.464,0.1260752
C1,,,0.465,0.1214049
C1,,,0.466,0.1364415
C1,,,0.467,0.1297487
C1,,,0.467,0.1266161
C1,,,0.468,0.1265848
C1,,,0.469,0.1221106
C1,,,0.47,0.1314155
C1,,,0.471,0.1384324
C1,,,0.472,0.1310657
C1,,,0.472,0.1635502
C1,,,0.473,0.175049
C1,,,0.474,0.1518551
C1,,,0.475,0.1266285
C1,,,0.476,0.1191598
C1,,,0.477,0.1602148
C1,,,0.477,0.1665428
C1,,,0.478,0.1432353
C1,,,0.479,0.1418045
C1,,,0.48,0.1397497
C1,,,0.481,0.1204764
C1,,,0.482,0.1219822
C1,,,0.482,0.1242079
C1,,,0.483,0.1164624
C1,,,0.484,0.1200003
C1,,,0.485,0.145452
C1,,,0.486,0.1374677
C1,,,0.487,0.1140983
C1,,,0.487,0.1141578
C1,,,0.488,0.1069907
C1,,,0.489,0.0956915
C1,,,0.49,0.113827
C1,,,0.491,0.09866371
C1,,,0.492,0.09316228
C1,,,0.492,0.1138828
C1,,,0.493,0.1052119
C1,,,0.494,0.1026739
C1,,,0.495,0.1037413
C1,,,0.496,0.0938664
C1,,,0.497,0.09673709
C1,,,0.497,0.1326256
C1,,,0.498,0.136684
C1,,,0.499,0.1255557
C1,,,0.5,0.1176913
C1,,,0.501,0.1165867
C1,,,0.502,0.09911282
C1,,,0.502,0.08954725
C1,,,0.503,0.1285987
C1,,,0.504,0.1282361
C1,,,0.505,0.114755
C1,,,0.506,0.1082582
C1,,,0.507,0.09272533
C1,,,0.507,0.0989342
C1,,,0.508,0.1078004
C1,,,0.509,0.12023
C1,,,0.51,0.1191129
C1,,,0.511,0.1069047
C1,,,0.512,0.1203407
C1,,,0.512,0.1218844
C1,,,0.513,0.1203509
C1,,,0.514,0.1474878
C1,,,0.515,0.1273865
C1,,,0.516,0.1033776
C1,,,0.517,0.09696355
C1,,,0.517,0.06914056
C1,,,0.518,0.07285379
C1,,,0.519,0.1037832
